Timestamp,What software do you use to mange your camera trapping images?,"If you use other sofware, please comment",What environment do you work in?,"If you work in a different environment, please specify:"
21/03/2019 10:44:17,Spreadsheets / no dedicated software,,Research,
21/03/2019 11:54:21,Spreadsheets / no dedicated software,,Research,
21/03/2019 12:24:08,"Spreadsheets / no dedicated software, eMammal",,Research,
21/03/2019 12:26:20,Spreadsheets / no dedicated software,,Research,
21/03/2019 12:50:38,"eMammal, camtrapR",,Research,
21/03/2019 14:13:01,camtrapR,,Research,
21/03/2019 14:19:27,"Spreadsheets / no dedicated software, Wild.ID, camtrapR",,NGO,
21/03/2019 16:46:03,camtrapR,Digikam for image tagging,Research,
21/03/2019 17:17:32,other,"Trapper (open source, published and developed by Jakub Bubnicki)",Research,
21/03/2019 18:56:16,Spreadsheets / no dedicated software,,NGO,
21/03/2019 19:01:06,CPW Photo Warehouse,,Research,
21/03/2019 19:36:43,other,Timelapse ,Research,
21/03/2019 19:55:57,camtrapR,Timelapse,Research,
21/03/2019 21:13:43,"Wild.ID, camtrapR",,Research,
21/03/2019 22:50:28,camtrapR,,NGO,
22/03/2019 08:26:13,camtrapR,,Research,
22/03/2019 14:41:22,Camelot,,other,
23/03/2019 18:58:17,camtrapR,,Research,
24/03/2019 08:27:21,other,Home made database KORAPhoto,Research,
25/03/2019 11:49:52,"Spreadsheets / no dedicated software, camtrapR",,Research,
25/03/2019 16:39:07,eMammal,,Research,
25/03/2019 16:39:32,eMammal,,NGO,
25/03/2019 16:40:02,eMammal,,,
26/03/2019 19:24:29,"camtrapR, Vixen",,Research,
27/03/2019 12:53:47,Vixen,,Research,
27/03/2019 12:56:24,Vixen,,Research,
27/03/2019 15:02:42,"Spreadsheets / no dedicated software, Wild.ID, camtrapR",,NGO,
29/03/2019 07:20:23,camtrapR,,Research,
29/03/2019 08:43:46,camtrapR,,Research,
01/04/2019 18:39:37,Agouti,,Research,
02/04/2019 17:31:42,other,"Custom 'software', which is a host of R scripts which work on the image metadata",Research,There are other software packages not on this list (e.g. Timelapse2 and the ZSL CTAT tool) which I know people use. There are some you could add to your list here: https://www.researchgate.net/publication/320402776_Camera-trapping_for_conservation_a_guide_to_best-practices
